zipcode,x,y
10012,1000736,241075
10012,985498,203362
10012,984549,203344
10012,997810,221493
10012,987772,216413
10012,1000736,241075
10012,985498,203362
10012,984549,203344
10012,997810,221493
10028,987772,216413
10028,1000736,241075
10028,985498,203362
10028,984549,203344
10028,997810,221493
11206,999146,197145
11206,1000308,234552
10037,999146,197145
10037,1000308,234552
10027,998701,236139
10027,985404,201826
10027,981131,197331
10012,998701,236139
10012,985404,201826
10012,981131,197331
10006,998701,236139
10006,985404,201826
10006,981131,197331
11226,997867,177030
11226,1020436,212219
11226,988467,188079
11226,980986,202440
11373,997867,177030
11373,1020436,212219
11373,988467,188079
11373,980986,202440
11217,997867,177030
11217,1020436,212219
11217,988467,188079
11217,980986,202440
10013,997867,177030
10013,1020436,212219
10013,988467,188079
10013,980986,202440
10452,1004841,245379
10452,987798,184163
10452,1006581,239041
11215,1004841,245379
11215,987798,184163
11215,1006581,239041
10451,1004841,245379
10451,987798,184163
10451,1006581,239041
10462,1020857,250926
10462,987785,188719
10462,986335,199903
11217,1020857,250926
11217,987785,188719
11217,986335,199903
10002,1020857,250926
10002,987785,188719
10002,986335,199903
10467,1020388,254038
10467,1000726,227645
10467,983735,204181
10029,1020388,254038
10029,1000726,227645
10029,983735,204181
10012,1020388,254038
10012,1000726,227645
10012,983735,204181
10458,1016443,250401
10458,1000789,200827
10458,985239,199437
10458,981181,197406
10458,1011886,250661
11211,1016443,250401
11211,1000789,200827
11211,985239,199437
11211,981181,197406
11211,1011886,250661
10002,1016443,250401
10002,1000789,200827
10002,985239,199437
10002,981181,197406
10002,1011886,250661
10005,1016443,250401
10005,1000789,200827
10005,985239,199437
10005,981181,197406
10005,1011886,250661
10457,1016443,250401
10457,1000789,200827
10457,985239,199437
10457,981181,197406
10457,1011886,250661
10468,1013169,255021
10468,1010773,249622
10457,1013169,255021
10457,1010773,249622
11212,1009455,183363
11212,981073,199585
10007,1009455,183363
10007,981073,199585
10468,1011117,253835
10468,1001603,238041
10468,983260,204022
10030,1011117,253835
10030,1001603,238041
10030,983260,204022
10013,1011117,253835
10013,1001603,238041
10013,983260,204022
10036,987746,214784
10019,988669,216684
10019,995492,167125
11230,988669,216684
11230,995492,167125
10031,999091,240556
10031,1001396,239133
10031,984801,199940
10039,999091,240556
10039,1001396,239133
10039,984801,199940
10013,999091,240556
10013,1001396,239133
10013,984801,199940
10003,986553,207131
10003,1009466,236587
10003,998911,236510
10455,986553,207131
10455,1009466,236587
10455,998911,236510
10030,986553,207131
10030,1009466,236587
10030,998911,236510
11215,990869,184646
11215,956061,154007
11215,1009916,236866
11215,984171,198383
10304,990869,184646
10304,956061,154007
10304,1009916,236866
10304,984171,198383
10455,990869,184646
10455,956061,154007
10455,1009916,236866
10455,984171,198383
10038,990869,184646
10038,956061,154007
10038,1009916,236866
10038,984171,198383
11434,1045901,185869
11434,1002420,246961
11434,985850,201535
10033,1045901,185869
10033,1002420,246961
10033,985850,201535
10002,1045901,185869
10002,1002420,246961
10002,985850,201535
10310,951643,171092
10310,1017854,240245
10310,996866,207666
10472,951643,171092
10472,1017854,240245
10472,996866,207666
11222,951643,171092
11222,1017854,240245
11222,996866,207666
11414,1030344,179158
11414,1008551,194410
11414,982224,187792
11414,986023,199326
11237,1030344,179158
11237,1008551,194410
11237,982224,187792
11237,986023,199326
11231,1030344,179158
11231,1008551,194410
11231,982224,187792
11231,986023,199326
10002,1030344,179158
10002,1008551,194410
10002,982224,187792
10002,986023,199326
11417,1025028,186421
11417,1001959,247830
10033,1025028,186421
10033,1001959,247830
11355,1036854,215071
